data//train\1085_flipver.jpg,data//train\1085_flipver.png
data//train\1988_blur2.jpg,data//train\1988_blur2.png
data//train\1796_rotate_4.jpg,data//train\1796_rotate_4.png
data//train\2987_rotate_3.jpg,data//train\2987_rotate_3.png
data//train\831_flipver.jpg,data//train\831_flipver.png
data//train\3803_rotate_0.jpg,data//train\3803_rotate_0.png
data//train\3507_rotate_0.jpg,data//train\3507_rotate_0.png
data//train\3377.jpg,data//train\3377.png
data//train\3919_rotate_1.jpg,data//train\3919_rotate_1.png
data//train\2129_rotate_3.jpg,data//train\2129_rotate_3.png
data//train\1841_rotate_4.jpg,data//train\1841_rotate_4.png
data//train\3568_noise.jpg,data//train\3568_noise.png
data//train\2237_rotate_4.jpg,data//train\2237_rotate_4.png
data//train\1190_rotate_4.jpg,data//train\1190_rotate_4.png
data//train\2091_rotate_1.jpg,data//train\2091_rotate_1.png
data//train\172_rotate_1.jpg,data//train\172_rotate_1.png
data//train\638_flipver.jpg,data//train\638_flipver.png
data//train\221_noise.jpg,data//train\221_noise.png
data//train\2319_blur2.jpg,data//train\2319_blur2.png
data//train\3886_noise.jpg,data//train\3886_noise.png
data//train\541_flipbor.jpg,data//train\541_flipbor.png
data//train\2770_blur2.jpg,data//train\2770_blur2.png
data//train\2941.jpg,data//train\2941.png
data//train\2059_blur2.jpg,data//train\2059_blur2.png
data//train\2882_rotate_0.jpg,data//train\2882_rotate_0.png
data//train\509_flipver.jpg,data//train\509_flipver.png
data//train\2355_flipver.jpg,data//train\2355_flipver.png
data//train\3408_flipver.jpg,data//train\3408_flipver.png
data//train\1473_rotate_2.jpg,data//train\1473_rotate_2.png
data//train\1645_flipbor.jpg,data//train\1645_flipbor.png
data//train\3874.jpg,data//train\3874.png
data//train\1538_rotate_1.jpg,data//train\1538_rotate_1.png
data//train\1992_rotate_0.jpg,data//train\1992_rotate_0.png
data//train\2810_rotate_4.jpg,data//train\2810_rotate_4.png
data//train\76_rotate_1.jpg,data//train\76_rotate_1.png
data//train\289_blur2.jpg,data//train\289_blur2.png
data//train\172.jpg,data//train\172.png
data//train\1973_rotate_2.jpg,data//train\1973_rotate_2.png
data//train\2537_rotate_2.jpg,data//train\2537_rotate_2.png
data//train\189_rotate_2.jpg,data//train\189_rotate_2.png
data//train\1174_rotate_3.jpg,data//train\1174_rotate_3.png
data//train\4015_rotate_0.jpg,data//train\4015_rotate_0.png
data//train\1900_rotate_1.jpg,data//train\1900_rotate_1.png
data//train\2990_blur3.jpg,data//train\2990_blur3.png
data//train\3411_rotate_1.jpg,data//train\3411_rotate_1.png
data//train\1907_flipbor.jpg,data//train\1907_flipbor.png
data//train\3615.jpg,data//train\3615.png
data//train\321_rotate_0.jpg,data//train\321_rotate_0.png
data//train\1682_rotate_0.jpg,data//train\1682_rotate_0.png
data//train\1520_flipbor.jpg,data//train\1520_flipbor.png
data//train\552_flipver.jpg,data//train\552_flipver.png
data//train\1006_rotate_4.jpg,data//train\1006_rotate_4.png
data//train\1346_blur2.jpg,data//train\1346_blur2.png
data//train\177_flipbor.jpg,data//train\177_flipbor.png
data//train\3744_rotate_3.jpg,data//train\3744_rotate_3.png
data//train\1615_rotate_3.jpg,data//train\1615_rotate_3.png
data//train\106.jpg,data//train\106.png
data//train\1441_rotate_4.jpg,data//train\1441_rotate_4.png
data//train\1963_noise.jpg,data//train\1963_noise.png
data//train\2868_rotate_2.jpg,data//train\2868_rotate_2.png
data//train\544_noise.jpg,data//train\544_noise.png
data//train\3567_blur3.jpg,data//train\3567_blur3.png
data//train\501_rotate_4.jpg,data//train\501_rotate_4.png
data//train\3157_flipbor.jpg,data//train\3157_flipbor.png
data//train\963_rotate_3.jpg,data//train\963_rotate_3.png
data//train\1225_rotate_3.jpg,data//train\1225_rotate_3.png
data//train\1623_blur2.jpg,data//train\1623_blur2.png
data//train\1590_rotate_3.jpg,data//train\1590_rotate_3.png
data//train\994_noise.jpg,data//train\994_noise.png
data//train\1317_rotate_0.jpg,data//train\1317_rotate_0.png
data//train\1607_flipbor.jpg,data//train\1607_flipbor.png
data//train\2945_rotate_0.jpg,data//train\2945_rotate_0.png
data//train\2912_blur3.jpg,data//train\2912_blur3.png
data//train\484_blur2.jpg,data//train\484_blur2.png
data//train\3159_rotate_2.jpg,data//train\3159_rotate_2.png
data//train\609_blur3.jpg,data//train\609_blur3.png
data//train\1196_rotate_0.jpg,data//train\1196_rotate_0.png
data//train\2044.jpg,data//train\2044.png
data//train\2074_rotate_2.jpg,data//train\2074_rotate_2.png
data//train\2286_blur3.jpg,data//train\2286_blur3.png
data//train\1827_rotate_3.jpg,data//train\1827_rotate_3.png
data//train\342_rotate_2.jpg,data//train\342_rotate_2.png
data//train\4047_noise.jpg,data//train\4047_noise.png
data//train\299_rotate_2.jpg,data//train\299_rotate_2.png
data//train\1081_blur2.jpg,data//train\1081_blur2.png
data//train\1883_flipbor.jpg,data//train\1883_flipbor.png
data//train\3268.jpg,data//train\3268.png
data//train\699_blur3.jpg,data//train\699_blur3.png
data//train\125_rotate_1.jpg,data//train\125_rotate_1.png
data//train\2330_rotate_4.jpg,data//train\2330_rotate_4.png
